iter	ms_wall
1	76.492
2	56.108
3	56.598
4	61.552
5	62.212
6	54.974
7	51.857
8	52.202
9	58.482
10	59.026
11	62.682
12	60.511
13	63.172
14	63.211
15	79.044
16	59.324
17	52.214
18	51.119
19	59.149
20	67.257
21	63.319
22	62.894
23	65.137
24	59.394
25	56.202
26	70.719
27	61.085
28	49.915
29	50.929
30	51.348
31	47.704
32	56.232
33	51.115
34	71.012
35	78.611
36	117.908
37	93.690
38	105.235
39	102.054
40	97.682
41	78.838
42	68.183
43	71.533
44	59.426
45	62.393
46	64.970
47	51.230
48	65.649
49	97.514
50	108.070
51	85.686
52	92.004
53	68.094
54	56.913
55	53.286
56	52.303
57	54.479
58	64.288
59	83.859
60	61.102
61	59.422
62	49.871
63	49.724
64	57.438
65	52.395
66	48.065
67	50.091
68	54.548
69	49.668
70	52.393
71	48.099
72	45.068
73	45.716
74	49.602
75	94.293
76	55.044
77	50.169
78	52.369
79	49.962
80	70.279
81	56.816
82	53.573
83	50.067
84	47.541
85	49.100
86	51.840
87	64.450
88	46.311
89	50.440
90	72.104
91	60.182
92	52.614
93	54.915
94	44.918
95	61.698
96	49.729
97	47.116
98	55.011
99	60.336
100	63.195
